            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2453838.500000000, A.D. 2006-Apr-13 00:00:00.0000,      65.185637, -6.005801734052644E+08, -5.456046823940732E+08,  1.570432591387910E+07,  8.631344007821824E+00, -9.063338237345441E+00, -1.554580211198138E-01,
2453841.500000000, A.D. 2006-Apr-16 00:00:00.0000,      65.185621, -5.983381819068736E+08, -5.479494780506977E+08,  1.566389263438234E+07,  8.669231014106686E+00, -9.029058126333675E+00, -1.565083054502590E-01,
2453844.500000000, A.D. 2006-Apr-19 00:00:00.0000,      65.185602, -5.960863671870121E+08, -5.502853506466676E+08,  1.562318765009245E+07,  8.707299242895878E+00, -8.995672126985941E+00, -1.575970531078248E-01,
2453847.500000000, A.D. 2006-Apr-22 00:00:00.0000,      65.185578, -5.938241190882704E+08, -5.526120285552268E+08,  1.558222753086984E+07,  8.746547782414501E+00, -8.957081466742354E+00, -1.584772447193199E-01,
2453850.500000000, A.D. 2006-Apr-25 00:00:00.0000,      65.185550, -5.915522221300675E+08, -5.549292437553707E+08,  1.554101141575536E+07,  8.784390697783241E+00, -8.922869667712281E+00, -1.595397351790462E-01,
2453853.500000000, A.D. 2006-Apr-28 00:00:00.0000,      65.185518, -5.892703133123025E+08, -5.572373000668989E+08,  1.549953195574045E+07,  8.822372901510445E+00, -8.886494053308562E+00, -1.605284530792952E-01,
2453856.500000000, A.D. 2006-May-01 00:00:00.0000,      65.185482, -5.869786730574296E+08, -5.595357961294624E+08,  1.545780118550113E+07,  8.858463742446252E+00, -8.849177010998460E+00, -1.615043244946630E-01,
2453859.500000000, A.D. 2006-May-04 00:00:00.0000,      65.185442, -5.846773996746855E+08, -5.618253793976393E+08,  1.541579351247650E+07,  8.899401739791184E+00, -8.814815001201200E+00, -1.625255614258521E-01,
2453862.500000000, A.D. 2006-May-07 00:00:00.0000,      65.185398, -5.823660323111366E+08, -5.641053681410842E+08,  1.537353934366536E+07,  8.936208414288323E+00, -8.778451782525778E+00, -1.635279678530632E-01,
2453865.500000000, A.D. 2006-May-10 00:00:00.0000,      65.185351, -5.800450612248142E+08, -5.663758937102436E+08,  1.533102684783974E+07,  8.972790086387931E+00, -8.742322275885186E+00, -1.645483374197796E-01,
2453868.500000000, A.D. 2006-May-13 00:00:00.0000,      65.185300, -5.777140928403338E+08, -5.686369576627171E+08,  1.528825970521048E+07,  9.011699667626246E+00, -8.703344757490472E+00, -1.654300398011990E-01,
2453871.500000000, A.D. 2006-May-16 00:00:00.0000,      65.185246, -5.753738093917748E+08, -5.708882059327190E+08,  1.524524264443880E+07,  9.046917602405074E+00, -8.668425873919007E+00, -1.665112020218160E-01,
2453874.500000000, A.D. 2006-May-19 00:00:00.0000,      65.185188, -5.730238589402131E+08, -5.731302613787881E+08,  1.520195716671938E+07,  9.084506280239610E+00, -8.631237728086298E+00, -1.674851987704331E-01,
2453877.500000000, A.D. 2006-May-22 00:00:00.0000,      65.185128, -5.706641856299437E+08, -5.753625826473376E+08,  1.515842417134196E+07,  9.121596658791118E+00, -8.592590515598051E+00, -1.684071533772249E-01,
2453880.500000000, A.D. 2006-May-25 00:00:00.0000,      65.185065, -5.682951080076464E+08, -5.775854853160735E+08,  1.511462678642419E+07,  9.160598514162707E+00, -8.557895803092030E+00, -1.694541331394168E-01,
2453883.500000000, A.D. 2006-May-28 00:00:00.0000,      65.184999, -5.659161187631015E+08, -5.797984433121023E+08,  1.507058981325641E+07,  9.195776559522164E+00, -8.518874695708570E+00, -1.703938366845805E-01,
2453886.500000000, A.D. 2006-May-31 00:00:00.0000,      65.184930, -5.635279608609333E+08, -5.820015345943913E+08,  1.502630088728926E+07,  9.230986343935493E+00, -8.481284059777769E+00, -1.713850648233040E-01,
2453889.500000000, A.D. 2006-Jun-03 00:00:00.0000,      65.184859, -5.611302653989556E+08, -5.841951119444692E+08,  1.498175120769179E+07,  9.269332153177217E+00, -8.443291234123469E+00, -1.723181451052076E-01,
2453892.500000000, A.D. 2006-Jun-06 00:00:00.0000,      65.184786, -5.587232989369099E+08, -5.863786665306777E+08,  1.493695696184149E+07,  9.303175703880779E+00, -8.406600041523463E+00, -1.733621689838420E-01,
2453895.500000000, A.D. 2006-Jun-09 00:00:00.0000,      65.184711, -5.563068716699438E+08, -5.885527901646621E+08,  1.489189822155246E+07,  9.341060462133594E+00, -8.367965109669415E+00, -1.742894476731074E-01,
2453898.500000000, A.D. 2006-Jun-12 00:00:00.0000,      65.184634, -5.538808353849074E+08, -5.907167800887424E+08,  1.484660193122631E+07,  9.377921620987040E+00, -8.328108261898192E+00, -1.751795498470319E-01,
2453901.500000000, A.D. 2006-Jun-15 00:00:00.0000,      65.184555, -5.514458189847984E+08, -5.928707887868602E+08,  1.480105367084521E+07,  9.413374657085301E+00, -8.292548356831874E+00, -1.762505737220779E-01,
2453904.500000000, A.D. 2006-Jun-18 00:00:00.0000,      65.184475, -5.490012751677365E+08, -5.950147803727305E+08,  1.475526148854119E+07,  9.447798521824584E+00, -8.251953133215881E+00, -1.771482092901855E-01,
2453907.500000000, A.D. 2006-Jun-21 00:00:00.0000,      65.184394, -5.465478409215057E+08, -5.971487079978348E+08,  1.470921973067927E+07,  9.482649673080694E+00, -8.213900630003350E+00, -1.781294247494420E-01,
2453910.500000000, A.D. 2006-Jun-24 00:00:00.0000,      65.184312, -5.440851007940609E+08, -5.992729902561010E+08,  1.466291769373575E+07,  9.520284825178187E+00, -8.176101517912684E+00, -1.790886388388455E-01,
2453913.500000000, A.D. 2006-Jun-27 00:00:00.0000,      65.184229, -5.416130405709852E+08, -6.013868828212032E+08,  1.461638309155193E+07,  9.553334819743712E+00, -8.136137209252787E+00, -1.800340478410760E-01,
2453916.500000000, A.D. 2006-Jun-30 00:00:00.0000,      65.184146, -5.391319453620744E+08, -6.034908723944210E+08,  1.456959335150421E+07,  9.590427042956911E+00, -8.096565153791575E+00, -1.809443178239554E-01,
2453919.500000000, A.D. 2006-Jul-03 00:00:00.0000,      65.184062, -5.366416160285822E+08, -6.055844473248914E+08,  1.452256922897294E+07,  9.625675496485970E+00, -8.056629530562546E+00, -1.818576375567607E-01,
2453922.500000000, A.D. 2006-Jul-06 00:00:00.0000,      65.183978, -5.341426778842552E+08, -6.076677520255276E+08,  1.447529792655399E+07,  9.658260100038397E+00, -8.019951367371771E+00, -1.829284173341059E-01,
2453925.500000000, A.D. 2006-Jul-09 00:00:00.0000,      65.183894, -5.316344656850672E+08, -6.097411017405639E+08,  1.442777627823126E+07,  9.693577131138271E+00, -7.978418958420844E+00, -1.837830960353473E-01,
2453928.500000000, A.D. 2006-Jul-12 00:00:00.0000,      65.183810, -5.291174056623709E+08, -6.118040475305887E+08,  1.438001559880748E+07,  9.728066161369895E+00, -7.939325800519456E+00, -1.847368313248294E-01,
2453931.500000000, A.D. 2006-Jul-15 00:00:00.0000,      65.183727, -5.265913161127418E+08, -6.138569298834690E+08,  1.433200451559791E+07,  9.763766656354113E+00, -7.900290597071249E+00, -1.856881432510908E-01,
2453934.500000000, A.D. 2006-Jul-18 00:00:00.0000,      65.183644, -5.240561415373458E+08, -6.158990686292660E+08,  1.428376871083078E+07,  9.796000600834693E+00, -7.857628935544607E+00, -1.865514483983741E-01,
2453937.500000000, A.D. 2006-Jul-21 00:00:00.0000,      65.183562, -5.215125136759105E+08, -6.179309690042969E+08,  1.423528133082497E+07,  9.831568285477225E+00, -7.818736280036426E+00, -1.875064198643686E-01,
2453940.500000000, A.D. 2006-Jul-24 00:00:00.0000,      65.183482, -5.189599312969939E+08, -6.199524286791396E+08,  1.418655621745396E+07,  9.865445615965537E+00, -7.778900451847331E+00, -1.884435708015690E-01,
2453943.500000000, A.D. 2006-Jul-27 00:00:00.0000,      65.183402, -5.163988199962071E+08, -6.219633749600171E+08,  1.413759137523517E+07,  9.896875765630304E+00, -7.739870227673711E+00, -1.894459571189966E-01,
