 *******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2019-Jan-02 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}   
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2458454.750000000, A.D. 2018-Dec-02 06:00:00.0000,      69.183104, -3.345780475250729E+06,  1.075802648913905E+08,  1.669206150754146E+06, -3.512320135774137E+01, -1.274332170254007E+00,  2.009395234841734E+00,
2458454.791666667, A.D. 2018-Dec-02 07:00:00.0000,      69.183105, -3.472221663607968E+06,  1.075756031252790E+08,  1.676438821065970E+06, -3.512189521010787E+01, -1.315537697869904E+00,  2.008754475053062E+00,
2458454.833333333, A.D. 2018-Dec-02 08:00:00.0000,      69.183106, -3.598658062623289E+06,  1.075707930213958E+08,  1.683669179638945E+06, -3.512054061229709E+01, -1.356742033841230E+00,  2.008110935615539E+00,
2458454.875000000, A.D. 2018-Dec-02 09:00:00.0000,      69.183107, -3.725089497876813E+06,  1.075658345841346E+08,  1.690897216467805E+06, -3.511913756474380E+01, -1.397945120417477E+00,  2.007464617346844E+00,
2458454.916666667, A.D. 2018-Dec-02 10:00:00.0000,      69.183108, -3.851515794950356E+06,  1.075607278180974E+08,  1.698122921550237E+06, -3.511768606795277E+01, -1.439146899846503E+00,  2.006815521068720E+00,
2458454.958333333, A.D. 2018-Dec-02 11:00:00.0000,      69.183109, -3.977936779427674E+06,  1.075554727280936E+08,  1.705346284886882E+06, -3.511618612249877E+01, -1.480347314374611E+00,  2.006163647606972E+00,
2458455.000000000, A.D. 2018-Dec-02 12:00:00.0000,      69.183110, -4.104352276894723E+06,  1.075500693191410E+08,  1.712567296481378E+06, -3.511463772902665E+01, -1.521546306246650E+00,  2.005508997791466E+00,
2458455.041666667, A.D. 2018-Dec-02 13:00:00.0000,      69.183111, -4.230762112939901E+06,  1.075445175964651E+08,  1.719785946340352E+06, -3.511304088825127E+01, -1.562743817706093E+00,  2.004851572456127E+00,
2458455.083333333, A.D. 2018-Dec-02 14:00:00.0000,      69.183112, -4.357166113154308E+06,  1.075388175654994E+08,  1.727002224473439E+06, -3.511139560095754E+01, -1.603939790995128E+00,  2.004191372438942E+00,
2458455.125000000, A.D. 2018-Dec-02 15:00:00.0000,      69.183113, -4.483564103131996E+06,  1.075329692318851E+08,  1.734216120893307E+06, -3.510970186800042E+01, -1.645134168354751E+00,  2.003528398581952E+00,
2458455.166666667, A.D. 2018-Dec-02 16:00:00.0000,      69.183114, -4.609955908470222E+06,  1.075269726014716E+08,  1.741427625615634E+06, -3.510795969030494E+01, -1.686326892024850E+00,  2.002862651731259E+00,
2458455.208333333, A.D. 2018-Dec-02 17:00:00.0000,      69.183115, -4.736341354769696E+06,  1.075208276803163E+08,  1.748636728659190E+06, -3.510616906886619E+01, -1.727517904244294E+00,  2.002194132737022E+00,
2458455.250000000, A.D. 2018-Dec-02 18:00:00.0000,      69.183116, -4.862720267634842E+06,  1.075145344746841E+08,  1.755843420045801E+06, -3.510433000474931E+01, -1.768707147251027E+00,  2.001522842453454E+00,
2458455.291666667, A.D. 2018-Dec-02 19:00:00.0000,      69.183117, -4.989092472674037E+06,  1.075080929910484E+08,  1.763047689800344E+06, -3.510244249908956E+01, -1.809894563282148E+00,  2.000848781738825E+00,
2458455.333333333, A.D. 2018-Dec-02 20:00:00.0000,      69.183118, -5.115457795499879E+06,  1.075015032360902E+08,  1.770249527950838E+06, -3.510050655309227E+01, -1.851080094574006E+00,  2.000171951455457E+00,
2458455.375000000, A.D. 2018-Dec-02 21:00:00.0000,      69.183119, -5.241816061729424E+06,  1.074947652166985E+08,  1.777448924528383E+06, -3.509852216803286E+01, -1.892263683362287E+00,  1.999492352469729E+00,
2458455.416666667, A.D. 2018-Dec-02 22:00:00.0000,      69.183120, -5.368167096984453E+06,  1.074878789399703E+08,  1.784645869567223E+06, -3.509648934525683E+01, -1.933445271882105E+00,  1.998809985652069E+00,
2458455.458333333, A.D. 2018-Dec-02 23:00:00.0000,      69.183121, -5.494510726891709E+06,  1.074808444132106E+08,  1.791840353104733E+06, -3.509440808617980E+01, -1.974624802368083E+00,  1.998124851876957E+00,
2458455.500000000, A.D. 2018-Dec-03 00:00:00.0000,      69.183122, -5.620846777083166E+06,  1.074736616439322E+08,  1.799032365181439E+06, -3.509227839228752E+01, -2.015802217054452E+00,  1.997436952022928E+00,
2458455.541666667, A.D. 2018-Dec-03 01:00:00.0000,      69.183123, -5.747175073196266E+06,  1.074663306398561E+08,  1.806221895841055E+06, -3.509010026513581E+01, -2.056977458175133E+00,  1.996746286972563E+00,
2458455.583333333, A.D. 2018-Dec-03 02:00:00.0000,      69.183124, -5.873495440874181E+06,  1.074588514089110E+08,  1.813408935130462E+06, -3.508787370635065E+01, -2.098150467963828E+00,  1.996052857612492E+00,
2458455.625000000, A.D. 2018-Dec-03 03:00:00.0000,      69.183125, -5.999807705766063E+06,  1.074512239592336E+08,  1.820593473099761E+06, -3.508559871762811E+01, -2.139321188654109E+00,  1.995356664833395E+00,
2458455.666666667, A.D. 2018-Dec-03 04:00:00.0000,      69.183126, -6.126111693527295E+06,  1.074434482991689E+08,  1.827775499802247E+06, -3.508327530073444E+01, -2.180489562479507E+00,  1.994657709529998E+00,
2458455.708333333, A.D. 2018-Dec-03 05:00:00.0000,      69.183127, -6.252407229819746E+06,  1.074355244372693E+08,  1.834955005294427E+06, -3.508090345750597E+01, -2.221655531673599E+00,  1.993955992601075E+00,
2458455.750000000, A.D. 2018-Dec-03 06:00:00.0000,      69.183128, -6.378694140312022E+06,  1.074274523822957E+08,  1.842131979636095E+06, -3.507848318984920E+01, -2.262819038470099E+00,  1.993251514949443E+00,
2458455.791666667, A.D. 2018-Dec-03 07:00:00.0000,      69.183129, -6.504972250679716E+06,  1.074192321432166E+08,  1.849306412890285E+06, -3.507601449974081E+01, -2.303980025102945E+00,  1.992544277481966E+00,
2458455.833333333, A.D. 2018-Dec-03 08:00:00.0000,      69.183130, -6.631241386605667E+06,  1.074108637292085E+08,  1.856478295123287E+06, -3.507349738922755E+01, -2.345138433806392E+00,  1.991834281109549E+00,
2458455.875000000, A.D. 2018-Dec-03 09:00:00.0000,      69.183132, -6.757501373780205E+06,  1.074023471496560E+08,  1.863647616404690E+06, -3.507093186042640E+01, -2.386294206815096E+00,  1.991121526747143E+00,
2458455.916666667, A.D. 2018-Dec-03 10:00:00.0000,      69.183133, -6.883752037901412E+06,  1.073936824141516E+08,  1.870814366807386E+06, -3.506831791552447E+01, -2.427447286364202E+00,  1.990406015313736E+00,
2458455.958333333, A.D. 2018-Dec-03 11:00:00.0000,      69.183134, -7.009993204675367E+06,  1.073848695324956E+08,  1.877978536407568E+06, -3.506565555677903E+01, -2.468597614689441E+00,  1.989687747732362E+00,
2458456.000000000, A.D. 2018-Dec-03 12:00:00.0000,      69.183135, -7.136224699816399E+06,  1.073759085146966E+08,  1.885140115284793E+06, -3.506294478651753E+01, -2.509745134027211E+00,  1.988966724930090E+00,
2458456.041666667, A.D. 2018-Dec-03 13:00:00.0000,      69.183136, -7.262446349047349E+06,  1.073667993709707E+08,  1.892299093521915E+06, -3.506018560713760E+01, -2.550889786614669E+00,  1.988242947838031E+00,
2458456.083333333, A.D. 2018-Dec-03 14:00:00.0000,      69.183137, -7.388657978099807E+06,  1.073575421117424E+08,  1.899455461205199E+06, -3.505737802110703E+01, -2.592031514689819E+00,  1.987516417391332E+00,
2458456.125000000, A.D. 2018-Dec-03 15:00:00.0000,      69.183138, -7.514859412714381E+06,  1.073481367476437E+08,  1.906609208424233E+06, -3.505452203096380E+01, -2.633170260491603E+00,  1.986787134529179E+00,
2458456.166666667, A.D. 2018-Dec-03 16:00:00.0000,      69.183139, -7.641050478640938E+06,  1.073385832895149E+08,  1.913760325272039E+06, -3.505161763931607E+01, -2.674305966259990E+00,  1.986055100194791E+00,
2458456.208333333, A.D. 2018-Dec-03 17:00:00.0000,      69.183140, -7.767231001638862E+06,  1.073288817484040E+08,  1.920908801844999E+06, -3.504866484884221E+01, -2.715438574236061E+00,  1.985320315335424E+00,
2458456.250000000, A.D. 2018-Dec-03 18:00:00.0000,      69.183141, -7.893400807477306E+06,  1.073190321355670E+08,  1.928054628242962E+06, -3.504566366229077E+01, -2.756568026662102E+00,  1.984582780902366E+00,
2458456.291666667, A.D. 2018-Dec-03 19:00:00.0000,      69.183142, -8.019559721935443E+06,  1.073090344624680E+08,  1.935197794569157E+06, -3.504261408248048E+01, -2.797694265781692E+00,  1.983842497850940E+00,
2458456.333333333, A.D. 2018-Dec-03 20:00:00.0000,      69.183143, -8.145707570802718E+06,  1.072988887407787E+08,  1.942338290930301E+06, -3.503951611230030E+01, -2.838817233839794E+00,  1.983099467140500E+00,
2458456.375000000, A.D. 2018-Dec-03 21:00:00.0000,      69.183144, -8.271844179879109E+06,  1.072885949823789E+08,  1.949476107436538E+06, -3.503636975470938E+01, -2.879936873082838E+00,  1.982353689734428E+00,
2458456.416666667, A.D. 2018-Dec-03 22:00:00.0000,      69.183145, -8.397969374975367E+06,  1.072781531993564E+08,  1.956611234201521E+06, -3.503317501273704E+01, -2.921053125758819E+00,  1.981605166600141E+00,
2458456.458333333, A.D. 2018-Dec-03 23:00:00.0000,      69.183146, -8.524082981913274E+06,  1.072675634040066E+08,  1.963743661342353E+06, -3.502993188948289E+01, -2.962165934117378E+00,  1.980853898709080E+00,
2458456.500000000, A.D. 2018-Dec-04 00:00:00.0000,      69.183147, -8.650184826525904E+06,  1.072568256088332E+08,  1.970873378979675E+06, -3.502664038811668E+01, -3.003275240409895E+00,  1.980099887036716E+00,
2458456.541666667, A.D. 2018-Dec-04 01:00:00.0000,      69.183148, -8.776274734657865E+06,  1.072459398265474E+08,  1.978000377237648E+06, -3.502330051187840E+01, -3.044380986889579E+00,  1.979343132562546E+00,
2458456.583333333, A.D. 2018-Dec-04 02:00:00.0000,      69.183149, -8.902352532165553E+06,  1.072349060700687E+08,  1.985124646243945E+06, -3.501991226407828E+01, -3.085483115811555E+00,  1.978583636270093E+00,
2458456.625000000, A.D. 2018-Dec-04 03:00:00.0000,      69.183150, -9.028418044917408E+06,  1.072237243525240E+08,  1.992246176129803E+06, -3.501647564809672E+01, -3.126581569432954E+00,  1.977821399146904E+00,
2458456.666666667, A.D. 2018-Dec-04 04:00:00.0000,      69.183151, -9.154471098794170E+06,  1.072123946872484E+08,  1.999364957029998E+06, -3.501299066738440E+01, -3.167676290013001E+00,  1.977056422184547E+00,
2458456.708333333, A.D. 2018-Dec-04 05:00:00.0000,      69.183152, -9.280511519689122E+06,  1.072009170877848E+08,  2.006480979082920E+06, -3.500945732546219E+01, -3.208767219813109E+00,  1.976288706378619E+00,
2458456.750000000, A.D. 2018-Dec-04 06:00:00.0000,      69.183153, -9.406539133508351E+06,  1.071892915678840E+08,  2.013594232430510E+06, -3.500587562592117E+01, -3.249854301096960E+00,  1.975518252728730E+00,
2458456.791666667, A.D. 2018-Dec-04 07:00:00.0000,      69.183154, -9.532553766171001E+06,  1.071775181415044E+08,  2.020704707218349E+06, -3.500224557242271E+01, -3.290937476130602E+00,  1.974745062238516E+00,
2458456.833333333, A.D. 2018-Dec-04 08:00:00.0000,      69.183155, -9.658555243609522E+06,  1.071655968228126E+08,  2.027812393595628E+06, -3.499856716869835E+01, -3.332016687182534E+00,  1.973969135915629E+00,
2458456.875000000, A.D. 2018-Dec-04 09:00:00.0000,      69.183156, -9.784543391769918E+06,  1.071535276261827E+08,  2.034917281715162E+06, -3.499484041854990E+01, -3.373091876523797E+00,  1.973190474771740E+00,
2458456.916666667, A.D. 2018-Dec-04 10:00:00.0000,      69.183157, -9.910518036612015E+06,  1.071413105661969E+08,  2.042019361733422E+06, -3.499106532584939E+01, -3.414162986428062E+00,  1.972409079822537E+00,
2458456.958333333, A.D. 2018-Dec-04 11:00:00.0000,      69.183158, -1.003647900410970E+07,  1.071289456576450E+08,  2.049118623810545E+06, -3.498724189453908E+01, -3.455229959171718E+00,  1.971624952087722E+00,
2458457.000000000, A.D. 2018-Dec-04 12:00:00.0000,      69.183159, -1.016242612025118E+07,  1.071164329155248E+08,  2.056215058110341E+06, -3.498337012863151E+01, -3.496292737033966E+00,  1.970838092591013E+00,
2458457.041666667, A.D. 2018-Dec-04 13:00:00.0000,      69.183160, -1.028835921103922E+07,  1.071037723550415E+08,  2.063308654800311E+06, -3.497945003220939E+01, -3.537351262296904E+00,  1.970048502360141E+00,
2458457.083333333, A.D. 2018-Dec-04 14:00:00.0000,      69.183161, -1.041427810249145E+07,  1.070909639916086E+08,  2.070399404051691E+06, -3.497548160942572E+01, -3.578405477245620E+00,  1.969256182426849E+00,
2458457.125000000, A.D. 2018-Dec-04 15:00:00.0000,      69.183163, -1.054018262064052E+07,  1.070780078408470E+08,  2.077487296039388E+06, -3.497146486450372E+01, -3.619455324168275E+00,  1.968461133826892E+00,
2458457.166666667, A.D. 2018-Dec-04 16:00:00.0000,      69.183164, -1.066607259153446E+07,  1.070649039185855E+08,  2.084572320942089E+06, -3.496739980173689E+01, -3.660500745356198E+00,  1.967663357600032E+00,
2458457.208333333, A.D. 2018-Dec-04 17:00:00.0000,      69.183165, -1.079194784123685E+07,  1.070516522408606E+08,  2.091654468942210E+06, -3.496328642548891E+01, -3.701541683103974E+00,  1.966862854790044E+00,
